BRW_CODROL;BRW_DESROL;BRW_SUBGRU;BRW_GRUPO;BRW_CAPITU;BRW_OD;BRW_AMB;BRW_HCO;BRW_HSO;BRW_PAC;BRW_DUT;BRW_SEQROL
30722144;ARTROPLASTIA INTERFALANGEANA / METACARPOFALANGEANA - TRATAMENTO CIRÚRGICO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000958
30722152;ARTROTOMIA;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000959
30722160;BIÓPSIA CIRÚRGICA DOS OSSOS DA MÃO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;000960
30722179;BRIDAS CONGÊNITAS - TRATAMENTO CIRÚRGICO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000961
30722209;CAPSULECTOMIA METACARPO-FALANGEANA OU INTERFALANGEANA;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000962
30722217;CAPSULECTOMIA METACARPO-FALANGEANA OU INTERFALANGEANA;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000963
30722225;CENTRALIZAÇÃO DA ULNA (TRATAMENTO DA MÃO TORTA RADIAL);MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000964
30722233;TRATAMENTO CIRÚRGICO DA CONTRATURA ISQUÊMICA DE MÃO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000965
30722241;COTO DE AMPUTAÇÃO DIGITAL - REVISÃO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;000966
30722250;DEDO COLO DE CISNE - TRATAMENTO CIRÚRGICO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000967
30722268;DEDO EM BOTOEIRA - TRATAMENTO CIRÚRGICO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000968
30722276;DEDO EM GATILHO, CAPSULOTOMIA / FASCIOTOMIA - TRATAMENTO CIRÚRGICO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000969
30722284;DEDO EM MARTELO - TRATAMENTO CIRÚRGICO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000970
30722292;DEDO EM MARTELO - TRATAMENTO CONSERVADOR;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;000971
30722306;ENXERTO ÓSSEO (PERDA DE SUBSTÂNCIA) - TRATAMENTO CIRÚRGICO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000972
30722314;EXPLORAÇÃO CIRÚRGICA DE TENDÃO DE MÃO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000973
30722322;FALANGIZAÇÃO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000974
30722330;TRATAMENTO CIRÚRGICO DE FRATURA COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO);PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000975
30722349;TRATAMENTO CONSERVADOR DE FRATURA DE OSSOS;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;000976
30722357;FRATURA (INCLUINDO DESCOLAMENTO EPIFISÁRIO) - REDUÇÃO INCRUENTA;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;000977
30722365;FRATURA DE BENNETT - TRATAMENTO CIRÚRGICO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;000978
30722373;TRATAMENTO CONSERVADOR DE FRATURA DE OSSOS;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;000979
30722381;FRATURA DO METACARPIANO - TRATAMENTO CONSERVADOR;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;000980
30722390;ARTRODESE COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO);PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000981
30722403;FRATURAS DE FALANGES OU METACARPIANOS - REDUÇÃO INCRUENTA;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;000982
30722411;FRATURAS DE FALANGES OU METACARPIANOS - TRATAMENTO CIRÚRGICO C/ FIXAÇÃO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000983
30722420;FRATURAS E/OU LUXAÇÕES DE FALANGES (INTERFALANGEANAS) - REDUÇÃO INCRUENTA;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000984
30722438;FRATURAS E/OU LUXAÇÕES DE FALANGES (INTERFALANGEANAS) - TRATAMENTO CIRÚRGICO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000985
30722446;FRATURAS E/OU LUXAÇÕES DE METACARPIANOS - REDUÇÃO INCRUENTA;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;000986
30722454;TRATAMENTO CIRÚRGICO DO GIGANTISMO EM MÃO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000987
30722462;LESÕES LIGAMENTARES AGUDAS OU CRÔNICAS DA MÃO - REPARAÇÃO CIRÚRGICA;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000988
30722470;LESÕES LIGAMENTARES AGUDAS OU CRÔNICAS DA MÃO - REPARAÇÃO CIRÚRGICA;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000989
30722489;LIGAMENTOPLASTIA COM ÂNCORA;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000990
30722497;REDUÇÃO INCRUENTA DE LUXAÇÃO E/OU AVULSÕES;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;000991
30722500;LUXAÇÃO METACARPOFALANGEANA-TRATAMENTO CIRÚRGICO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000992
30722519;TRATAMENTO CIRÚRGICO DA OSTEOMIELITE;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000993
30722527;OSTEOSSÍNTESE DE FRATURA DE FALANGE E METACARPEANA COM OU SEM USO DE MINIPARAFUSO OU FIXADOR EXTERNO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;000994
30722535;OSTEOSSÍNTESE DE FRATURA DE FALANGE E METACARPEANA COM OU SEM USO DE MINIPARAFUSO OU FIXADOR EXTERNO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;000995
30722543;TRATAMENTO CIRÚRGICO REPARADOR DA PERDA DE SUBSTÂNCIA DA MÃO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000996
30722551;RECONSTRUÇÃO DE LEITO UNGUEAL;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;000997
30722560;POLICIZAÇÃO OU TRANSFERÊNCIA DIGITAL;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000998
30722578;POLIDACTILIA ARTICULADA - TRATAMENTO CIRÚRGICO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;000999
30722586;POLIDACTILIA NÃO ARTICULADA - TRATAMENTO CIRÚRGICO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;001000
30722594;PRÓTESE (IMPLANTE) PARA OSSOS DO CARPO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001001
30722608;TRATAMENTO DA PSEUDARTROSE COM PERDA DE SUBSTÂNCIAS DE METACARPIANO E FALANGES;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001002
30722616;PSEUDARTROSE DO ESCAFÓIDE - TRATAMENTO CIRÚRGICO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001003
30722624;PSEUDARTROSE DOS OSSOS DA MÃO - TRATAMENTO CIRÚRGICO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001004
30722632;RECONSTRUÇÃO DA FALANGE COM RETALHO HOMODIGITAL;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;001005
30722640;RECONSTRUÇÃO DE LEITO UNGUEAL;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;001006
30722659;RECONSTRUÇÃO DO POLEGAR COM RETALHO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001007
30722667;REIMPLANTE DE MEMBROS OU PARTES;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001008
30722675;REIMPLANTE DE MEMBROS OU PARTES;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001009
30722683;REIMPLANTE DE MEMBROS OU PARTES;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001010
30722691;REPARAÇÕES CUTÂNEAS COM RETALHO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;001011
30722705;RESSECÇÃO 1ª FILEIRA DOS OSSOS DO CARPO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001012
30722713;RESSECÇÃO DE CISTO SINOVIAL;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;001013
30722721;TRATAMENTO CIRÚRGICO DA RETRAÇÃO CICATRICIAL DE DEDOS, COM OU SEM COMPROMETIMENTO TENDINOSO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001014
30722730;TRATAMENTO CIRÚRGICO DA RETRAÇÃO CICATRICIAL DE DEDOS, COM OU SEM COMPROMETIMENTO TENDINOSO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001015
30722748;TRATAMENTO CIRÚRGICO DA RETRAÇÃO CICATRICIAL DE DEDOS, COM OU SEM COMPROMETIMENTO TENDINOSO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001016
30722756;REVASCULARIZAÇÃO DE DEDOS;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001017
30722764;REDUÇÂO INCRUENTA DAS ROTURAS DO APARELHO EXTENSOR DE DEDO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;001018
30722772;TRATAMENTO CIRÚRGICO DAS ROTURAS TENDINO-LIGAMENTARES DA MÃO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001019
30722780;SEQUESTRECTOMIA;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001020
30722799;TRATAMENTO CIRÚRGICO DA SINDACTILIA COM OU SEM EMPREGO DE EXPANSOR;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001021
30722802;TRATAMENTO CIRÚRGICO DA SINDACTILIA COM OU SEM EMPREGO DE EXPANSOR;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001022
30722810;SINOVECTOMIA;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001023
30722829;SINOVECTOMIA;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001024
30722845;TRANSPOSIÇÃO DE DEDO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001025
30722853;TRATAMENTO CIRÚRGICO DE POLIDACTILIA SIMPLES, COMPLEXA OU MÚLTIPLA;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001026
30722861;TRATAMENTO CIRÚRGICO DA SINDACTILIA MÚLTIPLA COM EMPREGO DE EXPANSOR;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001027
30722870;TRATAMENTO DA DOENÇA DE KIENBOCK COM TRANSPLANTE VASCULARIZADO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001028
30722888;TRATAMENTO DA PSEUDOARTROSE DO ESCAFÓIDE COM TRANSPLANTE ÓSSEO VASCULARIZADO COM OU SEM FIXAÇÃO COM MICRO PARAFUSO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001029
30722900;REDUÇÂO INCRUENTA DAS ROTURAS DO APARELHO EXTENSOR DE DEDO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;001030
30722918;REDUÇÂO INCRUENTA DAS ROTURAS DO APARELHO EXTENSOR DE DEDO;MEMBROS SUPERIORES;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;001031
30723019;BIÓPSIA CIRÚRGICA DA CINTURA PÉLVICA;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001032
30723027;DESARTICULAÇÃO INTERÍLIO ABDOMINAL - TRATAMENTO CIRÚRGICO;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001033
30723035;TRATAMENTO CONSERVADOR DE FRATURA DE OSSOS;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;001034
30723043;FRATURA/LUXAÇÃO COM FIXADOR EXTERNO - TRATAMENTO CIRÚRGICO;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001035
30723051;FRATURAS E/OU LUXAÇÕES DO ANEL PÉLVICO (COM UMA OU MAIS ABORDAGENS) - TRATAMENTO CIRÚRGICO;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001036
30723060;FRATURAS E/OU LUXAÇÕES DO ANEL PÉLVICO - REDUÇÃO INCRUENTA;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;001037
30723078;OSTEOMIELITE AO NÍVEL DA PELVE - TRATAMENTO CIRÚRGICO;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001038
30723086;OSTEOTOMIAS / ARTRODESES - TRATAMENTO CIRÚRGICO;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001039
30723094;TRATAMENTO CONSERVADOR DE FRATURA DE OSSOS;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;001040
30723108;TRATAMENTO CONSERVADOR DE FRATURA DE OSSOS;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;001041
30723116;TRATAMENTO CONSERVADOR DE FRATURA DE OSSOS;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;001042
30723124;TRATAMENTO CONSERVADOR DE FRATURA DE OSSOS;PROCEDIMENTOS GERAIS;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;;001043
30724015;TRATAMENTO CIRÚRGICO DA ARTRITE SÉPTICA;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001044
30724023;ARTRODESE / FRATURA DE ACETÁBULO (LIGAMENTOTAXIA) COM OU SEM FIXADOR EXTERNO;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001045
30724031;ARTRODESE COXO-FEMORAL EM GERAL - TRATAMENTO CIRÚRGICO;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001046
30724040;ARTRODIASTASE DE QUADRIL;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001047
30724058;ARTROPLASTIA - TRATAMENTO CIRÚRGICO;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001048
30724066;ARTROPLASTIA DE QUADRIL INFECTADA (RETIRADA DOS COMPONENTES) - TRATAMENTO CIRÚRGICO;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001049
30724074;ARTROPLASTIA DE RESSECÇÃO DO QUADRIL (GIRDLESTONE);CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001050
30724082;ARTROPLASTIA PARCIAL DO QUADRIL - TRATAMENTO CIRÚRGICO;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001051
30724090;ARTROPLASTIA TOTAL DE QUADRIL INFECTADA (INCISÃO E DRENAGEM ARTRITE SÉPTICA) - TRATAMENTO CIRÚRGICO;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001052
30724104;ARTROTOMIA COXO-FEMORAL - TRATAMENTO CIRÚRGICO;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001053
30724112;BIÓPSIA CIRÚRGICA COXO-FEMORAL;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001054
30724120;DESARTICULAÇÃO COXO-FEMORAL - TRATAMENTO CIRÚRGICO;CINTURA PÉLVICA;SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;;HCO;HSO;;;001055
