BVN_CDITEM;BVN_TISVER;BVN_TAG;BVN_CAMTAG;BVN_TPVLD;BVN_ALIAS;BVN_INDICE;BVN_CODTAB;BVN_DADEXP;BVN_CODOPE;BVN_PROPRI;BVN_CODGLO;BVN_BLCPRE;BVN_BLCPOS;BVN_GRPCND;BVN_TAGMSG;BVN_MSGAUX
0003;4.01.00;DATAEXECUCAO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;CDATA >= PLSDtX58() - GETNewPar('MV_PLSDTAT', 90);;X;58;;;;;'Existem guias com data de atendimento fora do prazo maximo para envio (' + Alltrim(Str(GetMv("MV_PLSDTAT"))) + ' dias).'
0005;4.01.00;DATAEXECUCAO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIAHONORARIOS\PROCEDIMENTOSREALIZADOS\PROCEDIMENTOSREALIZADO\;3;;0;;CDATA >= PLSDtX58() - GETNewPar('MV_PLSDTAT', 90);;X;58;;;;;'Existem guias com data de atendimento fora do prazo maximo para envio (' + Alltrim(Str(GetMv("MV_PLSDTAT"))) + ' dias).'
0001;4.01.00;CBO;\;3;;0;24;PlTrCBOSUB('X55',_CCBOEXE,_CCBOSOL,_CCODESP,_CESPEXE,_CESPSOL,ADADUSR,ADADRDA,CCODPAD,CCODPRO);;X;55;;;;CODIGOPROCEDIMENTO;
0001;4.01.00;CBO;\;3;;0;24;PlTrCBOSUB('X59',_CCBOEXE,_CCBOSOL,_CCODESP,_CESPEXE,_CESPSOL);;X;59;;;;CODIGOPROCEDIMENTO;
0001;4.01.00;CBO;\;2;BAQ;0;24;;;X;25;;;;;
0002;4.01.00;CBO;\;3;;0;;PlTrCBOSUB('X25',_CCBOEXE,_CCBOSOL,_CCODESP,_CESPEXE,_CESPSOL);;X;25;;;;;
0001;4.01.00;CODIGOPROCEDIMENTO;\;3;;0;;A973CHEBLO('BAU');;X;60;;;;CODIGOPRESTADORNAOPERADORA;
0001;4.01.00;CBO;\;3;;0;;A973CHEBLO('BB0',CSIGLA,CCRM,CCODUF);;X;61;;;;NOMEPROF;
0001;4.01.00;CNES;\;3;;0;;P973VldLoc(ADADOSUNIC);;X;62;;;;;
0002;4.01.00;CNESEXEC;\;3;;0;;P973VldLoc(ADADOSUNIC, .T.);;X;62;;;;;
0001;4.01.00;MOTIVOENCERRAMENTO;\;3;;0;;IIf([%\MOTIVOENCERRAMENTO%] <> '41', .T., !(EmpTy([%\DECLARACAOOBITO%])));;X;63;;;;;
0002;4.01.00;DATAATENDIMENTO;\;3;;0,00;;.T.;;X;42;;;;;'Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(cCodPro)+' - Descricao: '+AllTrim(Posicione('BR8',1,xFilial('BR8')+cCodPad+cCodPro,'BR8_DESCRI'))
0001;4.01.00;NOMEPROFISSIONAL;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIAHONORARIOS\PROCEDIMENTOSREALIZADOS\PROCEDIMENTOREALIZADO\PROFISSIONAIS\;3;;0;;PLSUSRINTE(CMATRIC, DDATPRO, , , , , , .T., .f., CNUMIMPOP, CNUMSEN)[1];0001;X;65;;;;DATAEXECUCAO;
0003;4.01.00;CODIGOPROCEDIMENTO;\;3;;0,00;;!( DDATPRO > MSDATE() );;X;42;;;;;'Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(cCodPro)+' - Descricao: '+AllTrim(Posicione('BR8',1,xFilial('BR8')+cCodPad+cCodPro,'BR8_DESCRI'))
0002;4.01.00;CODIGOPROCEDIMENTO;\;4;;0,00;;;;X;27;;;;;
0002;4.01.00;DATAEXECUCAO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;PLSVLDDATI(DDATPRO,DFATINI,DFATFIM);;X;65;;;;;
0001;4.01.00;CBO;\;3;;0;;PlTrCBOSUB('X66',_CCBOEXE);;X;66;;;;;
0001;4.01.00;CODIGOPROCEDIMENTO;\;3;;0;;PLtermVIG([%\CODIGOTABELA%], [%\CODIGOPROCEDIMENTO%], DDATPRO);;X;67;;;;;
0001;4.01.00;VALORPROCEDIMENTO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIACONSULTA\DADOSATENDIMENTO\PROCEDIMENTO\;3;;0;;PLVALUNIT(CVALUNIT);;X;52;;;;;
0002;4.01.00;VALORUNITARIO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIAHONORARIOS\PROCEDIMENTOSREALIZADOS\PROCEDIMENTOREALIZADO\;3;;0;;PLVALUNIT(CVALUNIT);;X;52;;;;;
0003;4.01.00;VALORUNITARIO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;PLVALUNIT(CVALUNIT);;X;52;;;;;
0004;4.01.00;VALORUNITARIO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIASP_SADT\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;PLVALUNIT(CVALUNIT);;X;52;;;;;
0005;4.01.00;VALORTOTAL;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\OUTRASDESPESAS\DESPESA\SERVICOSEXECUTADOS\;3;;0;;PLVALUNIT(NVALTOT);;X;52;;;;;
0006;4.01.00;VALORUNITARIO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\OUTRASDESPESAS\DESPESA\SERVICOSEXECUTADOS\;3;;0;;PLVALUNIT(CVALUNIT);;X;52;;;;;
0007;4.01.00;QUANTIDADEEXECUTADA;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\OUTRASDESPESAS\DESPESA\SERVICOSEXECUTADOS\;3;;0;;PLVALUNIT(STR(NQTDPRO));;X;52;;;;;
0008;4.01.00;VALORUNITARIO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIASP_SADT\OUTRASDESPESAS\DESPESA\SERVICOSEXECUTADOS\;3;;0;;PLVALUNIT(CVALUNIT);;X;52;;;;;
0009;4.01.00;VALORTOTAL;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIASP_SADT\OUTRASDESPESAS\DESPESA\SERVICOSEXECUTADOS\;3;;0;;PLVALUNIT(NVALTOT);;X;52;;;;;
0010;4.01.00;QUANTIDADEEXECUTADA;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIASP_SADT\OUTRASDESPESAS\DESPESA\SERVICOSEXECUTADOS\ ;3;;0;;PLVALUNIT(STR(NQTDPRO));;X;52;;;;;
0011;4.01.00;QUANTIDADEEXECUTADA;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIASP_SADT\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\ ;3;;0;;PLVALUNIT(STR(NQTDPRO));;X;52;;;;;
0012;4.01.00;VALORTOTAL;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIASP_SADT\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;PLVALUNIT(NVALTOT);;X;52;;;;;
0013;4.01.00;QUANTIDADEEXECUTADA;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\ ;3;;0;;PLVALUNIT(STR(NQTDPRO));;X;52;;;;;
0014;4.01.00;VALORTOTAL;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;PLVALUNIT(NVALTOT);;X;52;;;;;
0004;4.01.00;DATAEXECUCAO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIASP_SADT\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;PlsDtExec();;X;58;;;;;'A data de autorização do procedimento é posterior à data de execução'
0006;4.01.00;DATAEXECUCAO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;PlsDtExFtr();;X;68;;;;;'A data de execução do procedimento está fora do intervalo entre o início e o fim do faturamento'
0001;4.01.00;NUMEROGUIAPRESTADOR;\;3;;0;;VerGuiaPrincipal(cGuiPri,cTipGui);;X;72;;;;;
0001;4.01.00;DATAINICIOFATURAMENTO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\DADOSINTERNACAO\;3;;0;;PlsDtAlt();;X;73;;;;;
0002;4.01.00;DATAFINALFATURAMENTO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\DADOSINTERNACAO\;3;;0;;PlsDtAlt();;X;73;;;;;
0006;4.01.00;DATAEXECUCAO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\OUTRASDESPESAS\DESPESA\SERVICOSEXECUTADOS\;3;;0;;CDATA >= PLSDtX58() - GETNewPar('MV_PLSDTAT', 90);;X;58;;;;;'Existem guias com data de atendimento fora do prazo maximo para envio (' + Alltrim(Str(GetMv("MV_PLSDTAT"))) + ' dias).'
0001;4.01.00;DATAATENDIMENTO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIACONSULTA\DADOSATENDIMENTO\;3;;0;;PlsDtEnt(CDATA);;X;9N;;;;;
0002;4.01.00;DATAEXECUCAO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIASP_SADT\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;PlsDtEnt(CDATA);;X;9N;;;;;
0003;4.01.00;DATAEXECUCAO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;PlsDtEnt(CDATA);;X;9N;;;;;
0004;4.01.00;DATAEXECUCAO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIAHONORARIOS\PROCEDIMENTOSREALIZADOS\PROCEDIMENTOSREALIZADO\;3;;0;;PlsDtEnt(CDATA);;X;9N;;;;;
0005;4.01.00;DATAEXECUCAO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\OUTRASDESPESAS\DESPESA\SERVICOSEXECUTADOS\;3;;0;;PlsDtEnt(CDATA);;X;9N;;;;;
0006;4.01.00;DATAEXECUCAO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIASP_SADT\OUTRASDESPESAS\DESPESA\SERVICOSEXECUTADOS\;3;;0;;PlsDtEnt(CDATA);;X;9N;;;;;
0001;4.01.00;NUMEROLOTE;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\;3;;0;;PlsDGX9I(CCODPAD,CCODPRO,ADADUSR,ADADRDA,COPEMOV,CDATA,_CCODESP,ACOMPO);;X;9I;;;;;
0001;4.01.00;NUMEROGUIAPRESTADOR;\;3;;0;;PlsBscExe(CNUMIMP,CNUMIMPOP,CNUMSEN,"1");;X;74;;;;;
0002;4.01.00;NUMEROGUIAOPERADORA;\;3;;0;;PlsBscExe(CNUMIMP,CNUMIMPOP,CNUMSEN,"2");;X;74;;;;;
0003;4.01.00;SENHA;\;3;;0;;PlsBscExe(CNUMIMP,CNUMIMPOP,CNUMSEN,"3");;X;74;;;;;
0001;4.01.00;NUMEROGUIAPRESTADOR;\;3;;0;;PlsVerCan(CNUMIMP);;X;9X;;;;;
