BA9_CODDOE;BA9_DOENCA;BA9_ABREVI;BA9_RESTSE;BA9_CAUOBT;BA9_REFERE
G548;OUTROS TRANSTORNOS DAS RAIZES E DOS PLEXOS NERVOSOS;G54.8 OUTR TRANST DAS RAI;;N;
G549;TRANSTORNO NAO ESPECIFICADO DAS RAIZES E DOS PLEXOS NERVOSOS;G54.9 TRANST NE DAS RAIZE;;N;
G55;COMPRESSOES DAS RAIZES E DOS PLEXOS NERVOSOS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;G55 COMPRESSOES RAIZES;;;
G550;COMPRESSOES DAS RAIZES E DOS PLEXOS NERVOSOS EM DOENCAS NEOPLASICAS;G55.0 COMPRESSOES RAIZES;;;C00 D48 
G551;COMPRESSOES DAS RAIZES E DOS PLEXOS NERVOSOS EM TRANSTORNOS DOS DISCOS INTERVERTEBRAIS;G55.1 COMPR RAIZ PLEXO NE;;;M50 M51 
G552;COMPRESSOES DAS RAIZES E DOS PLEXOS NERVOSOS NA ESPONDILOSE;G55.2 COMPRESSOES RAIZES;;;M47.
G553;COMPRESSOES DAS RAIZES E DOS PLEXOS NERVOSOS EM OUTRAS DORSOPATIAS;G55.3 COMPRESSOES RAIZES;;;M45 M46M
G558;COMPRESSOES DAS RAIZES E DOS PLEXOS NERVOSOS EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE;G55.8 COMPRESS RAIZES PLE;;;
G56;MONONEUROPATIAS DOS MEMBROS SUPERIORES;G56 MONONEUROPATIAS DOS;;;
G560;SINDROME DO TUNEL DO CARPO;G56.0 SINDR DO TUNEL DO C;;N;
G561;OUTRAS LESOES DO NERVO MEDIANO;G56.1 OUTR LESOES DO NERV;;N;
G562;LESOES DO NERVO CUBITALULNAR;G56.2 LESOES DO NERVO CUB;;N;
G563;LESAO DO NERVO RADIAL;G56.3 LESAO DO NERVO RADI;;N;
G564;CAUSALGIA;G56.4 CAUSALGIA;;N;
G568;OUTRAS MONONEUROPATIAS DOS MEMBROS SUPERIORES;G56.8 OUTR MONONEUROPATIA;;N;
G569;MONONEUROPATIA DOS MEMBROS SUPERIORESNAO ESPECIFICADA;G56.9 MONONEUROPATIA DOS;;N;
G57;MONONEUROPATIAS DOS MEMBROS INFERIORES;G57 MONONEUROPATIAS DOS;;;
G570;LESAO DO NERVO CIATICO;G57.0 LESAO DO NERVO CIAT;;N;
G571;MERALGIA PARESTESICA;G57.1 MERALGIA PARESTESIC;;N;
G572;LESAO DO NERVO FEMORAL;G57.2 LESAO DO NERVO FEMO;;N;
G573;LESAO DO NERVO POPLITEO LATERAL;G57.3 LESAO DO NERVO POPL;;N;
G574;LESAO DO NERVO POPLITEO MEDIAL;G57.4 LESAO DO NERVO POPL;;N;
G575;SINDROME DO TUNEL DO TARSO;G57.5 SINDR DO TUNEL DO T;;N;
G576;LESAO DO NERVO PLANTAR;G57.6 LESAO DO NERVO PLAN;;N;
G578;OUTRAS MONONEUROPATIAS DOS MEMBROS INFERIORES;G57.8 OUTR MONONEUROPATIA;;N;
G579;MONONEUROPATIA DOS MEMBROS INFERIORESNAO ESPECIFICADA;G57.9 MONONEUROPATIA DOS;;N;
G58;OUTRAS MONONEUROPATIAS;G58 OUTR MONONEUROPATIA;;;
G580;NEUROPATIA INTERCOSTAL;G58.0 NEUROPATIA INTERCOS;;;
G587;MONONEURITE MULTIPLA;G58.7 MONONEURITE MULT;;N;
G588;OUTRAS MONONEUROPATIAS ESPECIFICADAS;G58.8 OUTR MONONEUROPATIA;;;
G589;MONONEUROPATIA NAO ESPECIFICADA;G58.9 MONONEUROPATIA NE;;;
G59;MONONEUROPATIAS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;G59 MONONEUROPATIAS EM;;;
G590;MONONEUROPATIA DIABETICA;G59.0 MONONEUROPATIA DIAB;;;E10 E14C
G598;OUTRAS MONONEUROPATIAS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;G59.8 OUTR MONONEUROPATIA;;;
G60;NEUROPATIA HEREDITARIA E IDIOPATICA;G60 NEUROPATIA HEREDITA;;;
G600;NEUROPATIA HEREDITARIA MOTORA E SENSORIAL;G60.0 NEUROPATIA HEREDITA;;;
G601;DOENCA DE REFSUM;G60.1 DOENC DE REFSUM;;;
G602;NEUROPATIA ASSOCIADA A ATAXIA HEREDITARIA;G60.2 NEUROPATIA ASSOC A;;;
G603;NEUROPATIA PROGRESSIVA IDIOPATICA;G60.3 NEUROPATIA PROGRESS;;;
G608;OUTRAS NEUROPATIAS HEREDITARIAS E IDIOPATICAS;G60.8 OUTR NEUROPATIAS HE;;;
G609;NEUROPATIA HEREDITARIA E IDIOPATICA NAO ESPECIFICADA;G60.9 NEUROPATIA HEREDITA;;;
G61;POLINEUROPATIA INFLAMATORIA;G61 POLINEUROPATIA INFL;;;
G610;SINDROME DE GUILLAIN BARRE;G61.0 SINDR DE GUILLAIN B;;;
G611;NEUROPATIA SERICA;G61.1 NEUROPATIA SERICA;;;
G618;OUTRAS POLINEUROPATIAS INFLAMATORIAS;G61.8 OUTR POLINEUROPATIA;;;
G619;POLINEUROPATIA INFLAMATORIA NAO ESPECIFICADA;G61.9 POLINEUROPATIA INFL;;;
G62;OUTRAS POLINEUROPATIAS;G62 OUTR POLINEUROPATIA;;;
G620;POLINEUROPATIA INDUZIDA POR DROGAS;G62.0 POLINEUROPATIA INDU;;;
G621;POLINEUROPATIA ALCOOLICA;G62.1 POLINEUROPATIA ALCO;;;
G622;POLINEUROPATIA DEVIDA A OUTROS AGENTES TOXICOS;G62.2 POLINEUROPATIA DEV;;;
G628;OUTRAS POLINEUROPATIAS ESPECIFICADAS;G62.8 OUTR POLINEUROPATIA;;;
G629;POLINEUROPATIA NAO ESPECIFICADA;G62.9 POLINEUROPATIA NE;;;
G63;POLINEUROPATIA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;G63 POLINEUROPATIA EM D;;;
G630;POLINEUROPATIA EM DOENCAS INFECCIOSAS E PARASITARIAS CLASSIFICADAS EM OUTRA PARTE;G63.0 POLINEUROPATIA EM D;;;
G631;POLINEUROPATIA EM DOENCAS NEOPLASICAS;G63.1 POLINEUROPATIA EM D;;;C00 D48 
G632;POLINEUROPATIA DIABETICA;G63.2 POLINEUROPATIA DIAB;;;E10 E14C
G633;POLINEUROPATIA EM OUTRAS DOENCAS ENDOCRINAS E METABOLICAS;G63.3 POLINEUROPATIA OUTR;;;E00 E07E
G634;POLINEUROPATIA EM DEFICIENCIAS NUTRICIONAIS;G63.4 POLINEUROPATIA EM D;;;E40 E64 
G635;POLINEUROPATIA EM DOENCAS SISTEMICAS DO TECIDO CONJUNTIVO;G63.5 POLINEUROPATIA DOEN;;;M30 M35 
G636;POLINEUROPATIA EM OUTROS TRANSTORNOS OSTEOMUSCULARES;G63.6 POLINEUROPATIA OUTR;;;M00 M25M
G638;POLINEUROPATIA EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE;G63.8 POLINEUROPATIA EM O;;;
G64;OUTROS TRANSTORNOS DO SISTEMA NERVOSO PERIFERICO;G64 OUTR TRANST DO SIST;;;
G64;OUTROS TRANSTORNOS DO SISTEMA NERVOSO PERIFERICO;G64 OUTR TRANST DO SIST;;;
G70;MIASTENIA GRAVIS E OUTROS TRANSTORNOS NEUROMUSCULARES;G70 MIASTENIA GRAVIS OU;;;
G700;MIASTENIA GRAVIS;G70.0 MIASTENIA GRAVIS;;;
G701;TRANSTORNOS MIONEURAIS TOXICOS;G70.1 TRANST MIONEURAIS T;;;
G702;MIASTENIA CONGENITA E DO DESENVOLVIMENTO;G70.2 MIASTENIA CONGEN E;;;
G708;OUTROS TRANSTORNOS MIONEURAIS ESPECIFICADOS;G70.8 OUTR TRANST MIONEUR;;;
G709;TRANSTORNO MIONEURAL NAO ESPECIFICADO;G70.9 TRANST MIONEURAL NE;;;
G71;TRANSTORNOS PRIMARIOS DOS MUSCULOS;G71 TRANST PRIM DOS MUS;;;
G710;DISTROFIA MUSCULAR;G71.0 DISTROFIA MUSCULAR;;;
G711;TRANSTORNOS MIOTONICOS;G71.1 TRANST MIOTONICOS;;;
G712;MIOPATIAS CONGENITAS;G71.2 MIOPATIAS CONGEN;;;
G713;MIOPATIA MITOCONDRIAL NAO CLASSIFICADA EM OUTRA PARTE;G71.3 MIOPATIA MITOCONDRI;;;
G718;OUTROS TRANSTORNOS PRIMARIOS DOS MUSCULOS;G71.8 OUTR TRANST PRIM DO;;;
G719;TRANSTORNO MUSCULAR PRIMARIO NAO ESPECIFICADO;G71.9 TRANST MUSCULAR PRI;;;
G72;OUTRAS MIOPATIAS;G72 OUTR MIOPATIAS;;;
G720;MIOPATIA INDUZIDA POR DROGAS;G72.0 MIOPATIA INDUZ P DR;;;
G721;MIOPATIA ALCOOLICA;G72.1 MIOPATIA ALCOOLICA;;;
G722;MIOPATIA DEVIDA A OUTROS AGENTES TOXICOS;G72.2 MIOPATIA DEV OUTR A;;;
G723;PARALISIA PERIODICA;G72.3 PARALISIA PERIODICA;;;
G724;MIOPATIA INFLAMATORIA NAO CLASSIFICADA EM OUTRA PARTE;G72.4 MIOPATIA INFLAM NCO;;;
G728;OUTRAS MIOPATIAS ESPECIFICADAS;G72.8 OUTR MIOPATIAS ESPE;;;
G729;MIOPATIA NAO ESPECIFICADA;G72.9 MIOPATIA NE;;;
G73;TRANSTORNOS DA JUNCAO MIONEURAL E DOS MUSCULOS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;G73 TRANST JUNCAO MIONE;;;
G730;SINDROMES MIASTENICAS EM DOENCAS ENDOCRINAS;G73.0 SINDR MIASTENICAS E;;;
G731;SINDROME DE EATON LAMBERT;G73.1 SINDR DE EATON LAMB;;;C80 
G732;OUTRAS SINDROMES MIASTENICAS EM DOENCAS NEOPLASICAS;G73.2 OUTR SINDR MIASTENI;;;C00 D48 
G733;SINDROMES MIASTENICAS EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE;G73.3 SINDR MIASTENICAS E;;;
G734;MIOPATIA EM DOENCAS INFECCIOSAS E PARASITARIAS CLASSIFICADAS EM OUTRA PARTE;G73.4 MIOPATIA EM DOENC I;;;
G735;MIOPATIA EM DOENCAS ENDOCRINAS;G73.5 MIOPATIA EM DOENC E;;;
G736;MIOPATIA EM DOENCAS METABOLICAS;G73.6 MIOPATIA EM DOENC M;;;
G737;MIOPATIA EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE;G73.7 MIOPATIA EM OUTR DO;;;
G80;PARALISIA CEREBRAL;G80 PARALISIA CEREBRAL;;;
G800;PARALISIA CEREBRAL QUADRIPLAGICA ESPASTICA;G80.0 PARALISIA CEREBRAL;;;
G801;PARALISIA CEREBRAL DIPLEGICA ESPASTICA;G80.1 PARALISIA CEREBRAL;;;
G802;PARALISIA CEREBRAL HEMIPLEGICA ESPASTICA;G80.2 PARALISIA CEREBRAL;;;
G803;PARALISIA CEREBRAL DISCINETICA;G80.3 PARALISIA CEREBRAL;;;
G804;PARALISIA CEREBRAL ATAXICA;G80.4 PARALISIA CEREBRAL;;;
G808;OUTRAS FORMAS DE PARALISIA CEREBRAL;G80.8 OUTR FORM DE PARALI;;;
G809;PARALISIA CEREBRAL NAO ESPECIFICADA;G80.9 PARALISIA CEREBRAL;;;
G81;HEMIPLEGIA;G81 HEMIPLEGIA;;;
G810;HEMIPLEGIA FLACIDA;G81.0 HEMIPLEGIA FLACIDA;;;
G811;HEMIPLEGIA ESPASTICA;G81.1 HEMIPLEGIA ESPASTIC;;;
G819;HEMIPLEGIA NAO ESPECIFICADA;G81.9 HEMIPLEGIA NE;;;
G82;PARAPLEGIA E TETRAPLEGIA;G82 PARAPLEGIA E TETRAP;;;
G820;PARAPLEGIA FLACIDA;G82.0 PARAPLEGIA FLACIDA;;;
G821;PARAPLEGIA ESPASTICA;G82.1 PARAPLEGIA ESPASTIC;;;
G822;PARAPLEGIA NAO ESPECIFICADA;G82.2 PARAPLEGIA NE;;;
G823;TETRAPLEGIA FLACIDA;G82.3 TETRAPLEGIA FLACIDA;;;
G824;TETRAPLEGIA ESPASTICA;G82.4 TETRAPLEGIA ESPASTI;;;
G825;TETRAPLEGIA NAO ESPECIFICADA;G82.5 TETRAPLEGIA NE;;;
G83;OUTRAS SINDROMES PARALITICAS;G83 OUTR SINDR PARALITI;;;
G830;DIPLEGIA DOS MEMBROS SUPERIORES;G83.0 DIPLEGIA DOS MEMBRO;;;
G831;MONOPLEGIA DO MEMBRO INFERIOR;G83.1 MONOPLEGIA DO MEMBR;;;
G832;MONOPLEGIA DO MEMBRO SUPERIOR;G83.2 MONOPLEGIA DO MEMBR;;;
G833;MONOPLEGIA NAO ESPECIFICADA;G83.3 MONOPLEGIA NE;;;
G834;SINDROME DA CAUDA EQ_INA;G83.4 SINDR DA CAUDA EQUI;;;
G838;OUTRAS SINDROMES PARALITICAS ESPECIFICADAS;G83.8 OUTR SINDR PARALITI;;;
G839;SINDROME PARALITICA NAO ESPECIFICADA;G83.9 SINDR PARALITICA NE;;;
G90;TRANSTORNOS DO SISTEMA NERVOSO AUTONOMO;G90 TRANST DO SIST NERV;;;
G900;NEUROPATIA AUTONOMICA PERIFERICA IDIOPATICA;G90.0 NEUROPATIA AUTONOMI;;;
G901;DISAUTONOMIA FAMILIARSINDROME DE RILEY DAY;G90.1 DISAUTONOMIA FAMILI;;;
G902;SINDROME DE HORNER;G90.2 SINDR DE HORNER;;;
G903;DEGENERACAO MULTISSISTEMICA;G90.3 DEGENERACAO MULTISS;;;
G904;DISREFLEXIA AUTONOMICA;G90.4 DISREFLEXIA AUTONOM;;;
G908;OUTROS TRANSTORNOS DO SISTEMA NERVOSO AUTONOMO;G90.8 OUTR TRANST DO SIST;;;
G909;TRANSTORNO NAO ESPECIFICADO DO SISTEMA NERVOSO AUTONOMO;G90.9 TRANST NE DO SIST N;;;
G91;HIDROCEFALIA;G91 HIDROCEFALIA;;;
G910;HIDROCEFALIA COMUNICANTE;G91.0 HIDROCEFALIA COMUNI;;;
G911;HIDROCEFALIA OBSTRUTIVA;G91.1 HIDROCEFALIA OBSTRU;;;
G912;HIDROCEFALIA DE PRESSAO NORMAL;G91.2 HIDROCEFALIA DE PRE;;;
G913;HIDROCEFALIA POS TRAUMATICA NAO ESPECIFICADA;G91.3 HIDROCEFALIA POS TR;;;
G918;OUTRAS FORMAS DE HIDROCEFALIA;G91.8 OUTR FORM DE HIDROC;;;
G919;HIDROCEFALIA NAO ESPECIFICADA;G91.9 HIDROCEFALIA NE;;;
G92;ENCEFALOPATIA TOXICA;G92 ENCEFALOPATIA TOXIC;;;
G92;ENCEFALOPATIA TOXICA;G92 ENCEFALOPATIA TOXIC;;;
G93;OUTROS TRANSTORNOS DO ENCEFALO;G93 OUTR TRANST DO ENCE;;;
G930;CISTOS CEREBRAIS;G93.0 CISTOS CEREBRAIS;;;
G931;LESAO ENCEFALICA ANOXICANAO CLASSIFICADA EM OUTRA PARTE;G93.1 LESAO ENCEFALICA AN;;;
G932;HIPERTENSAO INTRACRANIANA BENIGNA;G93.2 HIPERTENSAO INTRACR;;;
G933;SINDROME DA FADIGA POS VIRAL;G93.3 SINDR DA FADIGA POS;;;
G934;ENCEFALOPATIA NAO ESPECIFICADA;G93.4 ENCEFALOPATIA NE;;;
G935;COMPRESSAO DO ENCEFALO;G93.5 COMPRESSAO DO ENCEF;;;
G936;EDEMA CEREBRAL;G93.6 EDEMA CEREBRAL;;;
G937;SINDROME DE REYE;G93.7 SINDR DE REYE;;;
G938;OUTROS TRANSTORNOS ESPECIFICADOS DO ENCEFALO;G93.8 OUTR TRANST ESPEC D;;;
G939;TRANSTORNO NAO ESPECIFICADO DO ENCEFALO;G93.9 TRANST NE DO ENCEFA;;;
G94;OUTROS TRANSTORNOS DO ENCEFALO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;G94 OUTR TRANST DO ENCE;;;
G940;HIDROCEFALIA EM DOENCAS INFECCIOSAS E PARASITARIAS CLASSIFICADAS EM OUTRA PARTE;G94.0 HIDROCEFALIA EM DOE;;;A00 B99 
G941;HIDROCEFALIA EM DOENCAS NEOPLASICAS;G94.1 HIDROCEFALIA EM DOE;;;C00 D48 
G942;HIDROCEFALIA EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE;G94.2 HIDROCEFALIA EM OUT;;;
G948;OUTROS TRANSTORNOS ENCEFALICOS ESPECIFICADOS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;G94.8 OUTR TRANST ENCEFAL;;;
G95;OUTRAS DOENCAS DA MEDULA ESPINAL;G95 OUTR DOENC DA MEDUL;;;
G950;SIRINGOMIELIA E SIRINGOBULBIA;G95.0 SIRINGOMIELIA E SIR;;;
G951;MIELOPATIAS VASCULARES;G95.1 MIELOPATIAS VASCULA;;;
G952;COMPRESSAO NAO ESPECIFICADA DE MEDULA ESPINAL;G95.2 COMPRESSAO NE DE ME;;;
G958;OUTRAS DOENCAS ESPECIFICADAS DA MEDULA ESPINAL;G95.8 OUTR DOENC ESPEC DA;;;
G959;DOENCA NAO ESPECIFICADA DA MEDULA ESPINAL;G95.9 DOENC NE DA MEDULA;;;
G96;OUTROS TRANSTORNOS DO SISTEMA NERVOSO CENTRAL;G96 OUTR TRANST DO SIST;;;
G960;FISTULA LIQUORICA;G96.0 FISTULA LIQUORICA;;;
G961;TRANSTORNOS DAS MENINGES NAO CLASSIFICADOS EM OUTRA PARTE;G96.1 TRANST DAS MENINGES;;;
G968;OUTROS TRANSTORNOS ESPECIFICADOS DO SISTEMA NERVOSO CENTRAL;G96.8 OUTR TRANST ESPEC D;;;
G969;TRANSTORNO NAO ESPECIFICADO DO SISTEMA NERVOSO CENTRAL;G96.9 TRANST NE DO SIST N;;;
G97;TRANSTORNOS POS PROCEDIMENTO DO SISTEMA NERVOSO NAO CLASSIFICADOS EM OUTRA PARTE;G97 TRANST POS PROCED D;;;
G970;PERDA DE LIQUOR RESULTANTE DE PUNCAO ESPINAL;G97.0 PERDA DE LIQUOR RES;;;
G971;OUTRA REACAO A PUNCAO ESPINAL E LOMBAR;G97.1 OUTR REACAO A PUNCA;;;
G972;HIPOTENSAO INTRACRANIANA CONSEQ_ENTE A DERIVACAO VENTRICULAR;G97.2 HIPOTENSAO INTRACRA;;;
G978;OUTROS TRANSTORNOS POS PROCEDIMENTO DO SISTEMA NERVOSO;G97.8 OUTR TRANST POS PRO;;;
G979;TRANSTORNO POS PROCEDIMENTO DO SISTEMA NERVOSONAO ESPECIFICADO;G97.9 TRANST POS PROCED D;;;
G98;OUTROS TRANSTORNOS DO SISTEMA NERVOSO NAO CLASSIFICADOS EM OUTRA PARTE;G98 OUTR TRANST DO SIST;;;
G98;OUTROS TRANSTORNOS DO SISTEMA NERVOSO NAO CLASSIFICADOS EM OUTRA PARTE;G98 OUTR TRANST DO SIST;;;
G99;OUTROS TRANSTORNOS DO SISTEMA NERVOSO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;G99 OUTR TRANST DO SIST;;;
G990;NEUROPATIA AUTONOMICA EM DOENCAS ENDOCRINAS E METABOLICAS;G99.0 NEUROPATIA AUTONOMI;;;
G991;OUTROS TRANSTORNOS DO SISTEMA NERVOSO AUTONOMO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;G99.1 OUTR TRANST SIST NE;;;
G992;MIELOPATIA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;G99.2 MIELOPATIA EM DOENC;;;
G998;OUTROS TRANSTORNOS ESPECIFICADOS DO SISTEMA NERVOSO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;G99.8 OUTR TRANST ESPEC D;;;
H00;HORDEOLO E CALAZIO;H00 HORDEOLO E CALAZIO;;;
H000;HORDEOLO E OUTRAS INFLAMACOES PROFUNDAS DAS PALPEBRAS;H00.0 HORDEOLO E OUTR INF;;N;
H001;CALAZIO;H00.1 CALAZIO;;N;
H01;OUTRAS INFLAMACOES DA PALPEBRA;H01 OUTR INFLAM DA PALP;;;
H010;BLEFARITE;H01.0 BLEFARITE;;N;
H011;DERMATOSES NAO INFECCIOSAS DA PALPEBRA;H01.1 DERMATOSES NAO INFE;;N;
H018;OUTRAS INFLAMACOES ESPECIFICADAS DA PALPEBRA;H01.8 OUTR INFLAM ESPEC D;;N;
H019;INFLAMACAO NAO ESPECIFICADA DA PALPEBRA;H01.9 INFLAM NE DA PALPEB;;N;
H02;OUTROS TRANSTORNOS DA PALPEBRA;H02 OUTR TRANST DA PALP;;;
H020;ENTROPIO E TRIQUIASE DA PALPEBRA;H02.0 ENTROPIO E TRIQUIAS;;N;
H021;ECTROPIO DA PALPEBRA;H02.1 ECTROPIO DA PALPEBR;;N;
H022;LAGOFTALMO;H02.2 LAGOFTALMO;;N;
H023;BLEFAROCALASIA;H02.3 BLEFAROCALASIA;;N;
H024;PTOSE DA PALPEBRA;H02.4 PTOSE DA PALPEBRA;;N;
H025;OUTROS TRANSTORNOS QUE AFETAM A FUNCAO DA PALPEBRA;H02.5 OUTR TRANST QUE AFE;;N;
H026;XANTELASMA DA PALPEBRA;H02.6 XANTELASMA DA PALPE;;N;
H027;OUTROS TRANSTORNOS DEGENERATIVOS DA PALPEBRA E DA AREA PERIOCULAR;H02.7 OUTR TRANST DEGENER;;N;
H028;OUTROS TRANSTORNOS ESPECIFICADOS DAS PALPEBRAS;H02.8 OUTR TRANST ESPEC D;;N;
H029;TRANSTORNO NAO ESPECIFICADO DA PALPEBRA;H02.9 TRANST NE DA PALPEB;;N;
H03;TRANSTORNOS DA PALPEBRA EM DOENCAS CLASSIFICADAS EM OUTRAS PARTES;H03 TRANST DA PALPEBRA;;;
H030;INFESTACAO PARASITARIA DA PALPEBRA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H03.0 INFESTACAO PARASIT;;;
H031;COMPROMETIMENTO DA PALPEBRA EM OUTRAS DOENCAS INFECCIOSAS CLASSIFICADAS EM OUTRA PARTE;H03.1 COMPR DA PALPEBRA E;;;
H038;COMPROMETIMENTO DA PALPEBRA EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRAS PARTES;H03.8 COMPR DA PALPEBRA E;;;
H04;TRANSTORNOS DO APARELHO LACRIMAL;H04 TRANST DO APARELHO;;;
H040;DACRIOADENITE;H04.0 DACRIOADENITE;;N;
H041;OUTROS TRANSTORNOS DA GLANDULA LACRIMAL;H04.1 OUTR TRANST DA GLAN;;N;
H042;EPIFORA;H04.2 EPIFORA;;N;
H043;INFLAMACAO AGUDA E NAO ESPECIFICADA DOS CANAIS LACRIMAIS;H04.3 INFLAM AGUDA E NE D;;N;
H044;INFLAMACAO CRONICA DOS CANAIS LACRIMAIS;H04.4 INFLAM CRONICA DOS;;N;
H045;ESTENOSE E INSUFICIENCIA DOS CANAIS LACRIMAIS;H04.5 ESTENOSE E INSUF DO;;N;
H046;OUTRAS ALTERACOES NOS CANAIS LACRIMAIS;H04.6 OUTR ALTERACOES NOS;;N;
H048;OUTROS TRANSTORNOS DO APARELHO LACRIMAL;H04.8 OUTR TRANST DO APAR;;N;
H049;TRANSTORNO NAO ESPECIFICADO DO APARELHO LACRIMAL;H04.9 TRANST NE DO APAREL;;N;
H05;TRANSTORNOS DA ORBITA;H05 TRANST DA ORBITA;;;
H050;INFLAMACAO AGUDA DA ORBITA;H05.0 INFLAM AGUDA DA ORB;;;
H051;TRANSTORNOS INFLAMATORIOS CRONICOS DA ORBITA;H05.1 TRANST INFLAM CRONI;;;
H052;AFECCOES EXOFTALMICAS;H05.2 AFECCOES EXOFTALMIC;;;
H053;DEFORMIDADE DA ORBITA;H05.3 DEFORM DA ORBITA;;;
H054;ENOFTALMIA;H05.4 ENOFTALMIA;;;
H055;CORPO ESTRANHOANTIGORETIDO CONSEQ_ENTE A FERIMENTO PERFURANTE DA ORBITA;H05.5 CORPO ESTRANHO RET;;;
H058;OUTROS TRANSTORNOS DA ORBITA;H05.8 OUTR TRANST DA ORBI;;;
H059;TRANSTORNO NAO ESPECIFICADO DA ORBITA;H05.9 TRANST NE DA ORBITA;;;
H06;TRANSTORNOS DO APARELHO LACRIMAL E DA ORBITA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H06 TRANST APARELHO LAC;;;
H060;TRANSTORNOS DO APARELHO LACRIMAL EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H06.0 TRANST DO APARELHO;;;
H061;INFESTACAO PARASITARIA DA ORBITA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H06.1 INFESTACAO PARASIT;;;
H062;EXOFTALMO DISTIREOIDEO;H06.2 EXOFTALMO DISTIREOI;;;E05.
H063;OUTROS TRANSTORNOS DA ORBITA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H06.3 OUTR TRANST DA ORBI;;;
H10;CONJUNTIVITE;H10 CONJUNTIVITE;;;
H100;CONJUNTIVITE MUCOPURULENTA;H10.0 CONJUNTIVITE MUCOPU;;N;
H101;CONJUNTIVITE AGUDA ATOPICA;H10.1 CONJUNTIVITE AGUDA;;N;
H102;OUTRAS CONJUNTIVITES AGUDAS;H10.2 OUTR CONJUNTIVITES;;N;
H103;CONJUNTIVITE AGUDA NAO ESPECIFICADA;H10.3 CONJUNTIVITE AGUDA;;N;
H104;CONJUNTIVITE CRONICA;H10.4 CONJUNTIVITE CRONIC;;N;
H105;BLEFAROCONJUNTIVITE;H10.5 BLEFAROCONJUNTIVITE;;N;
H108;OUTRAS CONJUNTIVITES;H10.8 OUTR CONJUNTIVITES;;N;
H109;CONJUNTIVITE NAO ESPECIFICADA;H10.9 CONJUNTIVITE NE;;N;
H11;OUTROS TRANSTORNOS DA CONJUNTIVA;H11 OUTR TRANST DA CONJ;;;
H110;PTERIGIO;H11.0 PTERIGIO;;N;
H111;DEGENERACOES E DEPOSITOS DA CONJUNTIVA;H11.1 DEGENERACOES E DEPO;;N;
H112;CICATRIZES DA CONJUNTIVA;H11.2 CICATRIZES DA CONJU;;N;
H113;HEMORRAGIA CONJUNTIVAL;H11.3 HEMORRAGIA CONJUNTI;;N;
H114;OUTROS TRANSTORNOS VASCULARES E CISTOS CONJUNTIVAIS;H11.4 OUTR TRANST VASCULA;;N;
H118;OUTROS TRANSTORNOS ESPECIFICADOS DA CONJUNTIVA;H11.8 OUTR TRANST ESPEC D;;N;
H119;TRANSTORNO NAO ESPECIFICADO DA CONJUNTIVA;H11.9 TRANST NE DA CONJUN;;N;
H13;TRANSTORNOS DA CONJUNTIVA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H13 TRANST DA CONJUNTIV;;;
H130;INFESTACAO POR FILARIAS NA CONJUNTIVA;H13.0 INFESTACAO P FILARI;;;B74.
H131;CONJUNTIVITE EM DOENCAS INFECCIOSAS E PARASITARIAS CLASSIFICADAS EM OUTRA PARTE;H13.1 CONJUNTIVITE EM DOE;;;
H132;CONJUNTIVITE EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE;H13.2 CONJUNTIVITE EM OUT;;;
H133;PENFIGOIDE OCULAR;H13.3 PENFIGOIDE OCULAR;;;L12.
H138;OUTROS TRANSTORNOS DA CONJUNTIVA EM DOENCA CLASSIFICADAS EM OUTRA PARTE;H13.8 OUTR TRANST DA CONJ;;;
H15;TRANSTORNOS DA ESCLEROTICA;H15 TRANST DA ESCLEROTI;;;
H150;ESCLERITE;H15.0 ESCLERITE;;N;
H151;EPISCLERITE;H15.1 EPISCLERITE;;N;
H158;OUTROS TRANSTORNOS DA ESCLEROTICA;H15.8 OUTR TRANST DA ESCL;;N;
H159;TRANSTORNO NAO ESPECIFICADO DA ESCLEROTICA;H15.9 TRANST NE DA ESCLER;;N;
H16;CERATITE;H16 CERATITE;;;
